timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1761231348477,1192,GET - List Objects,200,OK,Thread Group 1-1,text,true,,782,188,1,1,https://api.restful-api.dev/objects/7,1185,0,429
1761231349693,749,POST - Add Objects,200,OK,Thread Group 1-1,text,true,,851,383,1,1,https://api.restful-api.dev/objects,749,0,0
1761231456790,733,GET - List Objects,200,OK,Thread Group 1-1,text,true,,778,188,1,1,https://api.restful-api.dev/objects/7,727,0,543
1761231457542,173,POST - Add Objects,200,OK,Thread Group 1-1,text,true,,861,383,1,1,https://api.restful-api.dev/objects,173,0,0
1761233037665,1465,GET - List Objects,200,OK,Thread Group 1-1,text,true,,778,188,1,1,https://api.restful-api.dev/objects/7,1459,0,836
1761233039149,710,POST - Add Objects,200,OK,Thread Group 1-1,text,true,,857,383,1,1,https://api.restful-api.dev/objects,710,0,0
1761283990308,472,GET - List Objects,200,OK,Thread Group 1-1,text,true,,770,188,1,1,https://api.restful-api.dev/objects/7,471,0,299
1761283990814,174,POST - Add Objects,200,OK,Thread Group 1-1,text,true,,845,383,1,1,https://api.restful-api.dev/objects,174,0,0
1761284023926,1042,GET - List Objects,200,OK,Thread Group 1-1,text,true,,776,188,1,1,https://api.restful-api.dev/objects/7,1033,0,541
1761284024988,469,POST - Add Objects,200,OK,Thread Group 1-1,text,true,,855,383,1,1,https://api.restful-api.dev/objects,469,0,0
1761284388664,1162,GET - List Objects,200,OK,Thread Group 1-1,text,true,,780,188,1,1,https://api.restful-api.dev/objects/7,1155,0,692
1761284389848,696,POST - Add Objects,200,OK,Thread Group 1-1,text,true,,855,383,1,1,https://api.restful-api.dev/objects,694,0,0
1761284398989,413,GET - List Objects,200,OK,Thread Group 1-1,text,true,,770,188,1,1,https://api.restful-api.dev/objects/7,406,0,223
1761284399428,174,POST - Add Objects,200,OK,Thread Group 1-1,text,true,,849,383,1,1,https://api.restful-api.dev/objects,174,0,0
